CP,CITY,BRUTA,NETA
35002,Las Palmas de Gran Canaria,26709,20264
35007,Las Palmas de Gran Canaria,26709,20264
35018,Las Palmas de Gran Canaria,26709,20264
36203,Vigo,26710,20264
36204,Vigo,26710,20264
8358,Arenys de Munt,26768,20304
8350,Arenys de Mar,26789,20319
8292,Esparraguera,26812,20335
8201,Sabadell,26821,20341
8202,Sabadell,26822,20342
8203,Sabadell,26823,20342
8205,Sabadell,26824,20343
8206,Sabadell,26825,20344
8207,Sabadell,26826,20344
8208,Sabadell,26827,20345
8811,Canyellas,26867,20373
11100,Cadiz,26891,20389
8591,Aiguafreda,26903,20398
17744,Navata,26933,20418
17772,Ordis,26933,20418
8186,Llisá d Amunt,26963,20439
8359,San Acisclo De Vallalta,26980,20451
8552,Taradell,27057,20504
8150,Parets del Vallés,27135,20558
50012,Zaragoza,27158,20574
43391,Viñols y Archs,27160,20575
43392,Viñols y Archs,27160,20575
15707,Santiago de Compostela,27181,20589
8551,Tona,27182,20590
8396,San Cipriano de Vallalta,27199,20602
17246,Santa Cristina de Aro,27227,20621
15011,A Coruña,27290,20665
8800,Villanueva y Geltrú,27308,20677
36370,Nigrán,27338,20698
8759,Vallriana,27375,20723
8630,Abrera,27646,20910
8754,Papiol,27669,20926
8755,Castellbisbal,27674,20930
8519,Malla,27699,20947
8553,Seva,27702,20949
8187,SantaEulalia de ronsana,27773,20998
8460,Santa Maria de Palautordera,27820,21030
8458,San Pedro de Vilamajor,27828,21036
7181,Calvià,27846,21048
8849,San Clemente de Llobregat,27882,21073
8400,Granollers,27955,21123
8401,Granollers,27955,21123
8402,Granollers,27955,21123
8403,Granollers,27955,21123
8185,Llisá de Vall,27971,21134
7001,Palma,27994,21150
7010,Establiments,27994,21150
7011,Son roca,27994,21150
7013,Son Vida,27994,21150
7002,Palma,27995,21151
7003,Palma,27996,21152
7004,Palma,27997,21152
7005,Palma,27998,21153
7006,Palma,27999,21154
7007,Palma,28000,21155
7008,Palma,28001,21155
7012,Palma,28002,21156
7014,Palma,28003,21157
7015,Palma,28004,21157
8880,Cubellas,28050,21189
